date,DJIA,DJIA_return,Nasdaq_Composite_Index,Nasdaq_Composite_Index_return,S_P500,S_P500_return,Nasdaq_100,Nasdaq_100_return,HSI,HSI_return,SH,SH_return,BTC,BTC_return
06th week of 1971,888.83,44.32647413,102.05,172.7083782,98.43,54.92807071,,,,,,,,
07th week of 1971,878.56,44.85632171,100.7,175.03714,96.74,55.90510647,,,,,,,,
08th week of 1971,878.83,44.84223342,101.34,173.9253996,96.75,55.89922481,,,,,,,,
09th week of 1971,898,43.86361915,103,171.1062136,98.96,54.62853678,,,,,,,,
10th week of 1971,898.34,43.84663936,104.5,168.6357895,99.57,54.28773727,,,,,,,,
11th week of 1971,912.92,43.13040573,105.77,166.5989411,101.01,53.4995545,,,,,,,,
12th week of 1971,903.48,43.59150175,105.07,167.715523,99.95,54.07753877,,,,,,,,
13th week of 1971,903.04,43.61322865,106.86,164.889388,100.56,53.74343675,,,,,,,,
14th week of 1971,920.39,42.77223786,108.38,162.5628345,102.1,52.91772772,,,,,,,,
15th week of 1971,940.21,41.84950171,109.96,160.2126228,103.49,52.19354527,,,,,,,,
16th week of 1971,947.79,41.50681058,110.69,159.1494263,104.05,51.90725613,,,,,,,,
17th week of 1971,941.75,41.77943191,112.3,156.8534283,103.95,51.95815296,,,,,,,,
18th week of 1971,936.97,41.99767335,110.66,159.1928429,102.87,52.51414407,,,,,,,,
19th week of 1971,936.06,42.03947397,110.74,159.0771176,102.21,52.85970062,,,,,,,,
20th week of 1971,921.87,42.70196449,108.85,161.8565916,100.99,53.51034756,,,,,,,,
21th week of 1971,907.81,43.37881275,108.25,162.759261,99.63,54.25444143,,,,,,,,
22th week of 1971,922.15,42.6886949,110.66,159.1928429,101.3,53.34353406,,,,,,,,
23th week of 1971,916.47,42.95946403,110.2,159.8615245,101.07,53.46720095,,,,,,,,
24th week of 1971,889.16,44.30965181,108.16,162.8955251,98.97,54.62291604,,,,,,,,
25th week of 1971,876.68,44.95465848,106.56,165.3564189,97.99,55.17920196,,,,,,,,
26th week of 1971,890.19,44.25722599,108.77,161.9763722,99.78,54.17137703,,,,,,,,
27th week of 1971,901.8,43.67457308,110.91,158.8317555,100.69,53.67275797,,,,,,,,
28th week of 1971,888.51,44.34279862,109.98,160.1833061,99.11,54.54434467,,,,,,,,
29th week of 1971,887.78,44.3800829,109.63,160.6978929,98.94,54.63978169,,,,,,,,
30th week of 1971,858.43,45.93164265,105.27,167.3949843,95.58,56.59573132,,,,,,,,
31th week of 1971,850.61,46.36310413,103.78,169.8126807,94.25,57.40848806,,,,,,,,
32th week of 1971,856.02,46.06377187,105.44,167.1234825,95.69,56.52952242,,,,,,,,
33th week of 1971,880.91,44.73399099,107.89,163.3056817,98.33,54.98494864,,,,,,,,
34th week of 1971,908.15,43.36219787,109.3,161.1860933,100.48,53.78702229,,,,,,,,
35th week of 1971,912.75,43.13862503,109.98,160.1833061,100.69,53.67275797,,,,,,,,
36th week of 1971,911,43.22341383,110.42,159.5410252,100.42,53.81975702,,,,,,,,
37th week of 1971,908.22,43.35877871,110.1,160.0076294,99.96,54.07202881,,,,,,,,
38th week of 1971,889.31,44.30200942,108.88,161.8117193,98.15,55.08762099,,,,,,,,
39th week of 1971,893.98,44.0653594,109.58,160.7716737,98.93,54.64540584,,,,,,,,
40th week of 1971,893.91,44.06888837,110.74,159.0771176,99.36,54.40458937,,,,,,,,
41th week of 1971,874.58,45.06500263,109.6,160.7421533,97.79,55.2940996,,,,,,,,
42th week of 1971,852.37,46.26530732,106.8,164.9825843,95.57,56.60175787,,,,,,,,
43th week of 1971,839,47.01851013,105.1,167.6673644,94.23,57.42088507,,,,,,,,
44th week of 1971,840.39,46.9390878,105.46,167.0915987,94.46,57.27863646,,,,,,,,
45th week of 1971,812.94,48.55781484,103.91,169.5989799,92.12,58.75900999,,,,,,,,
46th week of 1971,810.67,48.69658431,102.95,171.1898009,91.61,59.09169305,,,,,,,,
47th week of 1971,816.59,48.33630096,101.64,173.4090909,91.94,58.87600609,,,,,,,,
48th week of 1971,859.59,45.86830931,107.26,164.270744,97.06,55.71749433,,,,,,,,
49th week of 1971,856.75,46.02367085,108.81,161.9164599,97.69,55.35172484,,,,,,,,
50th week of 1971,873.8,45.10612268,110.52,159.3957655,100.26,53.90724117,,,,,,,,
51th week of 1971,881.17,44.72049661,111.94,157.3610863,100.74,53.64562239,,,,,,,,
52th week of 1971,890.2,44.25671759,114.12,154.3359621,102.09,52.92300911,,,,,,,,
01th week of 1972,910.37,43.2540176,116.05,151.7526066,103.47,52.2038272,,,,,,,,
02th week of 1972,906.68,43.43412229,116.74,150.8497516,103.39,52.24499468,,,,,,,,
03th week of 1972,907.44,43.39690778,117.21,150.2408498,103.65,52.11143271,,,,,,,,
04th week of 1972,906.38,43.44882941,118.44,148.6702128,104.16,51.85138249,,,,,,,,
05th week of 1972,906.68,43.43412229,121.24,145.2136259,104.86,51.49856952,,,,,,,,
06th week of 1972,917.59,42.9058076,122.86,143.285691,105.08,51.38865626,,,,,,,,
07th week of 1972,917.52,42.90915729,123.4,142.654295,105.28,51.28913374,,,,,,,,
08th week of 1972,922.79,42.65839465,124.83,141.0086518,106.18,50.84592202,,,,,,,,
09th week of 1972,942.43,41.74856488,127.19,138.3736929,107.94,50.00055586,,,,,,,,
10th week of 1972,939.87,41.86500261,128.55,136.8991832,108.38,49.79350434,,,,,,,,
11th week of 1972,942.88,41.72816265,128.01,137.4808999,107.92,50.01000741,,,,,,,,
12th week of 1972,942.28,41.75536995,127.55,137.9803214,107.52,50.19977679,,,,,,,,
13th week of 1972,940.7,41.82718189,128.14,137.3404089,107.2,50.35261194,,,,,,,,
14th week of 1972,962.6,40.85282568,131.8,133.498786,109.62,49.21893815,,,,,,,,
15th week of 1972,967.72,40.63139131,133.88,131.4091724,109.84,49.11835397,,,,,,,,
16th week of 1972,963.8,40.80071592,133.01,132.2752425,108.89,49.55560658,,,,,,,,
17th week of 1972,954.17,41.22259136,131.33,133.9801264,107.67,50.12844804,,,,,,,,
18th week of 1972,941.23,41.8030662,129.43,135.9616009,106.63,50.62712182,,,,,,,,
19th week of 1972,941.83,41.77579818,129.44,135.9510198,106.38,50.74844896,,,,,,,,
20th week of 1972,961.54,40.89896416,132.16,133.1324153,108.98,49.51385575,,,,,,,,
21th week of 1972,971.25,40.48008237,133.95,131.3399776,110.66,48.74697271,,,,,,,,
22th week of 1972,961.39,40.90550141,133.52,131.7661774,109.73,49.16859564,,,,,,,,
23th week of 1972,934.45,42.11362834,130.57,134.7657961,106.86,50.51600225,,,,,,,,
24th week of 1972,945.06,41.62960024,131.28,134.0315356,108.36,49.80287929,,,,,,,,
25th week of 1972,944.69,41.64629667,130.22,135.1307019,108.27,49.84510945,,,,,,,,
26th week of 1972,929.03,42.36515505,130.08,135.277214,107.14,50.38137017,,,,,,,,
27th week of 1972,938.06,41.94771123,131.5,133.8056274,108.69,49.64863373,,,,,,,,
28th week of 1972,922.26,42.68348405,129.38,136.0145308,106.8,50.54494382,,,,,,,,
29th week of 1972,920.45,42.76938454,127.63,137.8932069,106.66,50.61260079,,,,,,,,
30th week of 1972,926.7,42.47418798,128.15,137.3296137,107.38,50.26653008,,,,,,,,
31th week of 1972,951.76,41.32950534,130.94,134.3821598,110.43,48.85058408,,,,,,,,
32th week of 1972,964.18,40.78424153,131.68,133.6213548,111.95,48.17373828,,,,,,,,
33th week of 1972,965.83,40.71285837,131.43,133.8774252,111.76,48.25733715,,,,,,,,
34th week of 1972,959.36,40.9941732,130.31,135.0366818,110.67,48.74247764,,,,,,,,
35th week of 1972,970.05,40.53139529,130.7,134.6307575,111.51,48.36776971,,,,,,,,
36th week of 1972,961.24,40.9120407,129.13,136.2797956,110.15,48.97730368,,,,,,,,
37th week of 1972,947.32,41.52789976,127.67,137.8496906,108.81,49.5927764,,,,,,,,
38th week of 1972,943.03,41.72136623,127.46,138.078456,108.52,49.72797641,,,,,,,,
39th week of 1972,953.27,41.2624545,129.61,135.7713911,110.55,48.79647218,,,,,,,,
40th week of 1972,945.36,41.61607218,128.13,137.3512058,109.62,49.21893815,,,,,,,,
